"id","name","parent_id","description","identifier","created_on"
1,"IBUSZ tender",33,"","ibusz-tender","2013-11-18 12:02:09"
2,"story board",1,"","story-board","2013-11-18 12:06:22"
3,"Livis",11,"","livis","2013-11-18 12:59:45"
4,"Naex",96,"","naex","2013-11-19 00:28:51"
5,"JEDE",96,"","jede","2013-11-19 10:51:17"
7,"Le Manége de Dully",17,"<p>Website ingatlanok értékesítéséhez</p>","le-manege-de-dully","2013-11-19 12:50:08"
8,"8 Ways Media",17,"","ways-media","2013-11-19 12:50:57"
10,"koffeinshop",5,"","koffeinshop","2013-11-20 10:35:10"
11,"Liveinfo",96,"<p>liveinfo.tv site és az ügyfélhez tartozó napi feladatok.</p>","liveinfo","2013-11-20 10:46:29"
13,"Mahartlog",96,"<p>Weboldal folyami és szárazföldi szállítmányozással foglalkozó cégnek.</p>","mahart","2013-11-20 14:27:28"
14,"képeslap",13,"","kepeslap","2013-11-20 14:29:22"
16,"GRS Recruitment",17,"<p>New website for GRS Recruitment.</p>","grs-recruitment","2013-11-20 17:39:38"
17,"8 Ways",NULL,"<p>8 ways:<br /><a class=\"email\" href=\"mailto:r.chamat@8ways.ch\">r.chamat@8ways.ch</a></p>","ways","2013-11-20 18:04:16"
18,"JedeCRM",96,"<p><a class=\"external\" href=\"http://jedecrm.web02.dev7.gbart.hu/login.php\">http://jedecrm.web02.dev7.gbart.hu/login.php</a><br />Jedeadmin<br />Jedecrm</p>","jedecrm","2013-11-20 21:04:43"
19,"XCopy",96,"","xcopy","2013-11-21 10:36:20"
20,"landing page",19,"<p><a class=\"external\" href=\"http://ingyenkavegep.hu/\">http://ingyenkavegep.hu/</a> mintájára független (nem jöhet le, hogy ez az xcopy-hoz köthető)ajánlatkérő landing page-t kell készítenünk.</p>","landing-page","2013-11-21 10:40:28"
21,"Visite Privée",17,"<p>New website for a home deco company.</p>","visite-privee","2013-11-21 15:22:15"
22,"NTT-2000",96,"","ntt-2000","2013-11-21 16:17:36"
23,"NTT website",22,"<p>ntt-2000 gyűjtőoldal</p>","ntt-website","2013-11-21 16:19:19"
24,"Árpi feladatok",96,"<p>Árpitól átvett kisebb munkák</p>","arpi-feladatok","2013-11-22 12:16:26"
25,"Aesthetica minisite",24,"<p>Akciós minisite tervezése az <a class=\"external\" href=\"http://www.aesthetica.hu/\">http://www.aesthetica.hu/</a> oldalhoz.</p>","aesthetica-minisite","2013-11-22 12:18:04"
26,"BPPI hírlevél tervezés",24,"","bppi-hirlevel-tervezes","2013-11-22 12:36:25"
27,"Budapest Klinikken",96,"","budapest-klinikken","2013-11-25 14:40:30"
28,"Weboldal javítások",27,"","weboldal-javitasok","2013-11-25 14:44:58"
29,"Weboldal template javítása",27,"","weboldal-template-javitasa","2013-11-25 14:55:56"
30,"LimeSurvey template",27,"<p>Ügyfél saját szerveren üzemelteti a kérdőív generátor rendszert, ehhez kaptunk  hozzáférést (átküldve), ebbe kell létrehozni egy template-et, ami tartalmaz minden elemet egyedi űrlapok generálásához.</p>","limesurvey-template","2013-11-25 15:06:03"
31,"osTicket template",27,"<p>Ügyfél ezt használja ügyfélszolgálathoz, csak a régi verzióját. Január elején fog frissíteni az 1.8-as verzióra, addig el kell készülnünk egy új template-tel, amit majd ő rá fog illeszteni a saját rendszerére.</p>","osticket-template","2013-11-25 15:12:43"
32,"myOpelService",33,"","myopelservice","2013-11-26 15:14:28"
33,"Rewart",96,"","rewart","2013-11-27 12:38:02"
34,"Facebok conversation tracking",27,"","facebok-conversation-tracking","2013-11-28 10:29:15"
35,"Alcor",96,"","alcor","2013-11-28 10:35:17"
36,"HaverVagy",96,"","havervagy","2013-11-28 23:22:26"
37,"weboldal módosítása",19,"","weboldal-modositasa","2013-12-03 10:00:58"
38,"Reklámzabálók",96,"","reklamzabalok","2013-12-06 12:47:53"
39,"DEV",NULL,"<p>általános fejlesztési okosságok, trükkök, cheatsheet, források</p>","dev","2013-12-07 12:31:14"
40,"NTH",96,"","nth","2013-12-10 13:01:10"
42,"Cartier Swiss",17,"<p>150 éves csokoládé manufaktúra.</p><p>Új logo és oldal készítése.</p>","cartier-swiss","2013-12-10 17:33:54"
43,"PerfectTransfer",96,"<p>Budapest-Szeged közötti utaztatás fix időpontos indulással, előre definiált útvonalakon</p>","perfecttransfer","2013-12-11 14:01:16"
44,"weboldal",43,"","weboldal","2013-12-11 14:02:56"
45,"Cokemaci",81,"","cokemaci","2013-12-12 12:49:02"
46,"Cin Cin Amica",96,"<p>Cin Cin Amica - cipős webshop</p>","cca","2013-12-13 13:26:22"
47,"Játékmester",56,"","jatekmester","2013-12-13 17:21:20"
48,"de Grisogono",17,"<p>Új design készítése luxus ékszereket forgalmazó üzlet weboldalának.</p>","de-grisogono","2013-12-16 12:20:56"
49,"Pascal Huni",17,"<p>Új design építész iroda meglévő oldalához, korábbi munkáik bemutatására.</p>","pascal-huni","2013-12-16 12:23:51"
50,"NORIBAT SA",17,"<p>Új logo és új weboldal készítése festéssel és belső építészettel/kivitelezéssel foglalkozó cégnek.</p>","noribat-sa","2013-12-16 12:31:28"
51,"Delman",17,"<p>Meglévő oldal újradesignolása.</p>","delman","2013-12-16 12:32:27"
52,"Sylva",96,"","sylva","2013-12-16 18:07:17"
53,"NKEK",52,"<p>Egy karácsonyi eDM, mindösszesen. :)</p>","nkek","2013-12-16 18:07:57"
54,"Riskpartners",96,"","riskpartners","2013-12-17 11:25:14"
55,"Tescomobile",96,"","tescomobile","2013-12-17 11:51:49"
56,"Brightly",96,"","brightly","2013-12-18 10:13:36"
57,"Davidoff Brothers",17,"<p>Új logo és weboldal luxus órákat forgalmazó bemutatóteremnek.</p>","davidoff-brothers","2013-12-19 15:48:52"
58,"Mercato webshop",96,"","mercato-webshop","2014-01-07 11:25:42"
